Enter 's' to start: x_err,y_err, velCond, z_err [0.] [0.] 75.5153839129832 [0.5]
x_err,y_err, velCond, z_err [0.01090327] [0.00455619] 0.8076507059696514 [0.5]
x_err,y_err, velCond, z_err [0.00545286] [0.00432607] 0.3977535990034909 [0.5]
x_err,y_err, velCond, z_err [0.00254535] [0.00311698] 0.21534447840109955 [0.5]
x_err,y_err, velCond, z_err [0.01090327] [0.00455619] 0.6119828395656876 [0.5]
x_err,y_err, velCond, z_err [0.00545157] [0.0022781] 0.4038286030349535 [0.5]
x_err,y_err, velCond, z_err [0.01090327] [0.00455619] 0.4038286030349535 [0.5]
x_err,y_err, velCond, z_err [0.0013472] [0.00181796] 0.4753062614173126 [0.5]
x_err,y_err, velCond, z_err [0.01629494] [0.00213606] 1.356368654358174 [0.5]
x_err,y_err, velCond, z_err [0.00509424] [0.00407146] 0.4765037490456214 [0.5]
x_err,y_err, velCond, z_err [0.01521926] [0.00574793] 1.6413457919509773 [0.5]
x_err,y_err, velCond, z_err [0.01062238] [0.01134696] 0.3905521463441424 [0.5]
x_err,y_err, velCond, z_err [0.00867416] [0.02009492] 1.0417406736935806 [0.5]
x_err,y_err, velCond, z_err [0.00371822] [0.02903001] 0.4223387837091928 [0.5]
x_err,y_err, velCond, z_err [0.00520314] [0.03309609] 0.5328218403911688 [0.5]
x_err,y_err, velCond, z_err [0.01457243] [0.04484544] 0.618490150844402 [0.5]
x_err,y_err, velCond, z_err [0.02171566] [0.05136873] 0.2823679295563982 [0.5]
x_err,y_err, velCond, z_err [0.0229493] [0.05917841] 0.9880277761603006 [0.5]
x_err,y_err, velCond, z_err [0.02511436] [0.06416589] 0.34837687315128923 [0.5]
x_err,y_err, velCond, z_err [0.01844822] [0.06319954] 1.0878204249635308 [0.5]
x_err,y_err, velCond, z_err [0.0375102] [0.0790737] 0.6405232771677639 [0.5]
x_err,y_err, velCond, z_err [0.03319454] [0.08086388] 0.9049933814423313 [0.5]
x_err,y_err, velCond, z_err [0.0451788] [0.0903999] 0.4750233932756172 [0.5]
x_err,y_err, velCond, z_err [0.05335128] [0.09822154] 0.6364573781548541 [0.5]
x_err,y_err, velCond, z_err [0.05529386] [0.10103905] 0.31003183360594805 [0.5]
x_err,y_err, velCond, z_err [0.06161559] [0.10690021] 0.26040967677875765 [0.5]
x_err,y_err, velCond, z_err [0.06645948] [0.11293202] 0.7465171733185233 [0.5]
x_err,y_err, velCond, z_err [0.06083371] [0.11190645] 0.7142227302977747 [0.5]
x_err,y_err, velCond, z_err [0.07500374] [0.1215932] 0.5070182641041799 [0.5]
x_err,y_err, velCond, z_err [0.06881245] [0.11934285] 0.8177360863247478 [0.49564319]
x_err,y_err, velCond, z_err [0.07975294] [0.12738621] 0.3634336783268017 [0.5]
