Enter 's' to start: x_err,y_err, velCond, z_err [0.] [0.] 74.80077162135734 [0.5]
x_err,y_err, velCond, z_err [0.00372428] [0.00442511] 0.4289162126645652 [0.5]
x_err,y_err, velCond, z_err [0.00289121] [0.00323365] 0.20443690782592366 [0.5]
x_err,y_err, velCond, z_err [0.00997591] [0.0032604] 0.834813306152059 [0.5]
x_err,y_err, velCond, z_err [0.] [0.] 0.6097560219085919 [0.5]
x_err,y_err, velCond, z_err [0.00252732] [0.00099963] 0.18603159437823516 [0.5]
x_err,y_err, velCond, z_err [0.00745243] [0.00222296] 0.24980210246738 [0.5]
x_err,y_err, velCond, z_err [0.0120158] [0.00785066] 1.4617087202213035 [0.5]
x_err,y_err, velCond, z_err [0.00338199] [0.00183928] 1.4139524466989273 [0.5]
x_err,y_err, velCond, z_err [0.00272369] [0.00793269] 0.21569493528177724 [0.5]
x_err,y_err, velCond, z_err [0.00333102] [0.0076747] 0.37625122238112907 [0.5]
x_err,y_err, velCond, z_err [0.01319362] [0.00455615] 1.8476272675554062 [0.5]
x_err,y_err, velCond, z_err [0.01965394] [0.00409439] 0.7173634592576252 [0.5]
x_err,y_err, velCond, z_err [0.01740615] [0.00868238] 0.5125731003480573 [0.5]
x_err,y_err, velCond, z_err [0.01089758] [0.0136763] 0.2716736483463437 [0.5]
x_err,y_err, velCond, z_err [0.0285703] [0.00663747] 1.7439288845603487 [0.5]
x_err,y_err, velCond, z_err [0.02212018] [0.00967083] 0.2505189360692551 [0.5]
x_err,y_err, velCond, z_err [0.02518697] [0.00942735] 0.33346531634209686 [0.5]
x_err,y_err, velCond, z_err [0.03226106] [0.00689342] 0.9694923235504568 [0.5]
x_err,y_err, velCond, z_err [0.04515278] [0.00023678] 1.140180573390701 [0.5]
x_err,y_err, velCond, z_err [0.03635944] [0.00458528] 0.5172528835606673 [0.5]
x_err,y_err, velCond, z_err [0.04122222] [0.00040032] 0.9177731765414902 [0.5]
x_err,y_err, velCond, z_err [0.04230079] [0.00160712] 0.3073952286352463 [0.5]
x_err,y_err, velCond, z_err [0.05010562] [0.00645842] 0.7634947062809015 [0.5]
x_err,y_err, velCond, z_err [0.0453506] [0.00568577] 0.19319781844245765 [0.5]
x_err,y_err, velCond, z_err [0.04417976] [0.00492187] 0.1537870272550394 [0.5]
x_err,y_err, velCond, z_err [0.04896439] [0.01065956] 0.8754491456140722 [0.5]
x_err,y_err, velCond, z_err [0.05191584] [0.01335964] 0.41448204140710493 [0.5]
x_err,y_err, velCond, z_err [0.03846643] [0.00891249] 0.5344460780862141 [0.5]
x_err,y_err, velCond, z_err [0.04597155] [0.01348868] 0.7126001757185293 [0.5]
